numberOfOccurrences;species;taxonKey;intraSpeciesPercentage
138687;Athyrium filix-femina;5275044;100.0
136374;Aria edulis;8411755;100.0
135438;Orchis purpurea;8794742;31.68
134653;Ruscus aculeatus;2769766;99.88
134317;Cardamine pratensis;7972010;34.9
134248;Lactuca serriola;3140490;57.12
133038;Chelidonium majus;5334186;100.0
132488;Echium vulgare;2925892;92.04
130493;Rubia peregrina;2892347;98.15
130406;Betonica officinalis;2927280;92.43
130070;Rosa arvensis;3007054;28.12
129142;Knautia arvensis;2888808;74.86
128986;Cruciata laevipes;5338920;91.21
128831;Rubus caesius;2995209;24.81
128723;Sonchus oleraceus;8228544;34.17
127930;Helianthemum nummularium;8890062;49.46
127060;Centaurea jacea;3128547;27.97
126931;Hippocrepis comosa;5353750;67.77
126150;Frangula alnus;3039454;100.0
125075;Deschampsia cespitosa;8059811;94.47
124405;Phalaris arundinacea;5289756;90.77
122975;Polygonatum multiflorum;2770022;62.22
121987;Galeopsis tetrahit;5341300;79.1
121290;Dipsacus fullonum;8435025;89.91
121141;Solidago virgaurea;6446462;64.08
120869;Abies alba;2685484;96.96
120625;Festuca rubra;2704922;19.69
119316;Dioscorea communis;2755063;99.81
119311;Rumex acetosella;2888995;12.9
118610;Picea abies;5284884;95.09
117312;Carex hirta;2724661;5.41
116762;Lotus pedunculatus;5356854;19.7
116476;Silene flos-cuculi;5384738;15.18
116278;Anemone nemorosa;3033263;76.95
115514;Viburnum opulus;2888605;29.74
115080;Crepis capillaris;5403304;30.83
114740;Ononis spinosa;2977149;51.32
113755;Anthyllis vulneraria;5352367;75.44
113547;Salix alba;5372513;15.63
113210;Dactylorhiza maculata;8179794;42.78
112702;Myosotis arvensis;5341170;32.25
112411;Cardamine hirsuta;3046258;29.21
111626;Lamium purpureum;2926682;25.44
110456;Mercurialis annua;3062975;50.75
110066;Persicaria maculosa;6391194;39.44
109932;Vicia cracca;2975287;15.35
109478;Phleum pratense;9014945;62.88
109236;Geranium molle;2891488;10.65
108926;Salix cinerea;5372605;15.0
107563;Anthriscus sylvestris;5371742;87.85
107490;Ophrys apifera;2792998;25.83
107235;Elymus repens;5290299;67.46
106802;Trifolium campestre;5359477;7.99
106763;Gymnadenia conopsea;7845022;75.23
106204;Orchis mascula;2849427;24.84
105917;Buxus sempervirens;2984671;100.0
104935;Ophrys sphegodes;2793334;25.21
104792;Clinopodium vulgare;2926945;49.26
104485;Mercurialis perennis;3063016;48.0
103705;Euphorbia helioscopia;3066367;10.52
103542;Humulus lupulus;2984535;99.89
103521;Succisa pratensis;2888811;100.0
102683;Cerastium glomeratum;3085440;22.31
102648;Juncus inflexus;2701841;12.3
102375;Symphytum officinale;7558421;81.22
101233;Circaea lutetiana;3188794;93.98
100907;Erodium cicutarium;9485490;77.16
100603;Campanula rotundifolia;5410907;22.35
99883;Epipactis helleborine;8998684;45.95
99717;Salvia pratensis;2927007;56.35
99714;Sedum album;5362008;33.61
99365;Amelanchier ovalis;3023878;100.0
98898;Scrophularia nodosa;3170886;50.02
98831;Potentilla sterilis;5366922;11.69
98461;Stellaria graminea;5384616;27.34
98346;Galium palustre;2913130;8.38
97793;Cerastium fontanum;3085458;21.24
97562;Quercus ilex;2879098;11.26
97522;Torminalis glaberrima;9410160;100.0
96293;Linaria vulgaris;5415020;42.31
96117;Tragopogon pratensis;5386897;70.22
95942;Luzula campestris;2700828;24.03
95569;Trifolium dubium;5359429;7.15
95373;Juglans regia;3054368;98.8
95151;Rubus idaeus;2993094;18.32
94940;Viola arvensis;5331235;16.39
94728;Asplenium trichomanes;8108066;22.49
93126;Plantago media;3189747;9.41
92977;Trisetum flavescens;2704389;99.49
92897;Tripleurospermum inodorum;3104179;96.54
92888;Stachys recta;2927298;27.04
92524;Melica uniflora;4116392;62.0
92487;Caltha palustris;5371685;100.0
92171;Cerastium holosteoides;6364031;20.02
91655;Prunus mahaleb;3022789;10.92
91524;Ranunculus flammula;3033312;7.75
90406;Veronica officinalis;3172049;8.6
90289;Cynosurus cristatus;2704395;89.42
90285;Geranium columbinum;2890603;8.8
89432;Viola reichenbachiana;5663962;15.44
89190;Leontodon hispidus;3137498;86.4
89086;Pulicaria dysenterica;3095609;83.54
88986;Oxalis acetosella;8211958;56.59
88980;Arenaria serpyllifolia;8089871;62.83
88923;Epilobium tetragonum;7322563;18.6
88896;Galium album;2913931;7.57
88736;Gentiana lutea;3170040;31.83
88650;Medicago sativa;9151957;17.87
88231;Dryopteris carthusiana;5275149;21.62
88049;Scabiosa columbaria;2888802;77.69
87608;Vicia hirsuta;2975328;12.23
87224;Linum catharticum;2873865;40.45
86879;Argentina anserina;5367246;100.0
86664;Echinochloa crus-galli;2702808;97.35
86372;Lysimachia nummularia;3169379;18.0
86319;Tussilago farfara;3149879;100.0
85852;Holcus mollis;2706163;22.4
85822;Solanum nigrum;9150405;33.51
85654;Viola riviniana;7296321;14.78
85157;Juncus acutiflorus;2701571;10.21
84914;Silene dioica;5384795;11.06
84639;Lamium album;2926683;19.29
84594;Viscum album;2889828;98.82
84398;Nardus stricta;2702717;100.0
84094;Digitalis purpurea;5414995;66.64
83998;Pimpinella saxifraga;7622278;65.46
83821;Sesleria caerulea;4119608;94.38
83659;Galium odoratum;2914642;7.12
83509;Draba verna;7473187;75.82
83301;Coronilla varia;5350005;52.15
82804;Rumex sanguineus;2888960;8.95
82778;Pastinaca sativa;8262702;99.76
81230;Saponaria officinalis;3085360;64.59
80997;Helminthotheca echioides;3141855;100.0
80271;Polygala vulgaris;3191374;47.42
80046;Chaerophyllum temulum;3034650;60.68
78806;Centaurea scabiosa;8087525;17.35
