numberOfOccurrences;species;taxonKey;intraSpeciesPercentage
12190;Globularia nudicaulis;7265189;10.02
12178;Plantago subulata;8067043;1.23
12154;Bupleurum fruticosum;3638793;10.18
12152;Torilis nodosa;3034819;9.16
12150;Clematis alpina;3033599;4.25
12139;Bupleurum baldense;3639903;10.16
12121;Libanotis pyrenaica;7945687;40.71
12112;Tragopogon dubius;6443709;8.85
12098;Gladiolus palustris;2750279;38.26
12089;Lycopodium clavatum;2688393;100.0
12065;Kindbergia praelonga;4279479;100.0
12061;Gentiana angustifolia;7270465;4.33
12060;Orobanche minor;3173271;11.59
12044;Dianthus caryophyllus;3085420;6.24
12023;Gladiolus italicus;2749791;38.03
12005;Chrysosplenium alternifolium;7339315;28.92
11997;Linum narbonense;4048802;5.56
11977;Ranunculus lingua;8310009;1.01
11933;Erica ciliaris;5682320;5.76
11908;Mibora minima;2705682;100.0
11903;Plantago strictissima;4155529;1.2
11872;Delphinium consolida;3033836;48.64
11867;Rosa sempervirens;3002660;2.57
11843;Euphorbia maculata;3067119;1.2
11842;Crepis pulchra;5403272;3.17
11812;Littorella uniflora;5421111;100.0
11810;Limoniastrum monopetalum;4088889;100.0
11804;Omalotheca sylvatica;3103192;45.96
11788;Quercus suber;2879411;1.36
11785;Mahonia aquifolium;3033865;100.0
11784;Trifolium alpestre;5359499;0.88
11779;Pulicaria vulgaris;6443643;11.05
11778;Arrhenatherum longifolium;4120862;3.76
11746;Pinus cembra;5285134;3.53
11736;Papaver somniferum;2888439;4.91
11734;Hypopitys monotropa;2888342;88.49
11734;Gymnadenia rhellicani;2840460;8.27
11715;Bromus catharticus;2703723;1.39
11699;Fagopyrum esculentum;2889373;98.34
11698;Dipsacus pilosus;4102733;8.67
11683;Carduus tenuiflorus;3114627;7.85
11683;Jacobaea paludosa;10380222;3.74
11678;Ludwigia palustris;5421025;25.19
11673;Populus canadensis;8190077;3.93
11662;Plantago sempervirens;7303117;1.18
11654;Chamaenerion dodonaei;3666422;12.55
11644;Broussonetia papyrifera;5361944;100.0
11632;Melilotus altissimus;2971042;10.86
11578;Rostraria cristata;5289906;97.11
11566;Phyteuma betonicifolium;3166780;7.75
11542;Juncus filiformis;2701799;1.38
11536;Lewinskya affinis;10055902;56.46
11532;Vicia lutea;2974753;1.61
11514;Brassica nigra;3042658;28.19
11501;Leucobryum glaucum;2675719;95.52
11493;Hieracium prenanthoides;9528652;4.76
11473;Luzula spicata;2700795;2.87
11458;Salix fragilis;5372829;1.58
11458;Trommsdorffia maculata;5387328;95.26
11454;Cynoglossum officinale;2925815;45.48
11448;Elaeagnus angustifolia;3039269;94.33
11444;Baldellia ranunculoides;2864546;70.33
11442;Metzgeria furcata;8250334;80.01
11426;Luzula pediformis;2700701;2.86
11414;Euphorbia falcata;3068845;1.16
11404;Luzula lutea;2700839;2.86
11401;Aster amellus;8133114;36.44
11398;Jacobaea maritima;5388595;3.65
11389;Coris monspeliensis;7290586;100.0
11341;Cardamine pentaphyllos;3045840;2.95
11334;Filago pyramidata;3115755;22.82
11314;Allium schoenoprasum;2855860;4.44
11313;Anthriscus caucalis;5371743;9.24
11305;Pallenis spinosa;5385215;82.25
11295;Agrimonia procera;3002121;6.53
11293;Drabella muralis;5375971;100.0
11289;Valerianella dentata;2888789;9.56
11260;Thysselinum palustre;3634395;86.63
11247;Leontopodium nivale;3140685;100.0
11236;Juncus alpinoarticulatus;2701930;1.35
11236;Armeria alpina;7136582;22.43
11198;Linum appressum;4048435;5.19
11193;Rhamnus saxatilis;6371028;9.19
11176;Fallopia dumetorum;6391446;13.08
11165;Moehringia muscosa;7267358;13.23
11135;Pentaglottis sempervirens;2926130;100.0
11114;Ranunculus peltatus;8365713;0.94
11101;Bolboschoenus maritimus;2718307;92.32
11098;Cercis siliquastrum;5353590;100.0
11091;Chrysojasminum fruticans;9556104;100.0
11076;Aegilops geniculata;5289781;45.46
11059;Primula hirsuta;8297072;2.98
11037;Eleocharis acicularis;2717570;10.89
11027;Montia fontana;9004024;65.11
11015;Aphanes australis;5365026;18.32
10995;Lemna trisulca;2867579;11.94
10982;Ranunculus trichophyllus;3033377;0.93
10973;Malva alcea;3152365;5.14
10972;Iris lutescens;5298190;4.97
10960;Carex arenaria;2721897;0.51
10929;Quercus rubra;2880539;1.26
10928;Colutea arborescens;7844167;100.0
10915;Acanthus mollis;5415455;100.0
10915;Ceratostigma plumbaginoides;3082279;100.0
10881;Rosa rubiginosa;8174785;2.35
10871;Cotoneaster franchetii;3026162;24.89
10838;Ludwigia grandiflora;5421039;23.38
10826;Myosotis decumbens;7295092;3.1
10825;Petasites hybridus;9490132;27.61
10814;Lysimachia linum-stellatum;4007682;2.25
10796;Orobanche caryophyllacea;3734492;10.38
10793;Stachys annua;2927235;3.14
10780;Rosa micrantha;3002154;2.33
10773;Luronium natans;2864775;100.0
10763;Rosa corymbifera;3007783;2.33
10758;Stachys arvensis;2927229;3.13
10750;Veronica fruticans;3172054;1.02
10743;Centaurea uniflora;3128948;2.36
10738;Isatis tinctoria;5374118;99.03
10718;Cruciata glabra;5338929;7.58
10718;Pulsatilla vernalis;3928615;12.86
10716;Saxifraga moschata;7339580;3.62
10714;Trifolium thalii;5358701;0.8
10700;Anacamptis palustris;2808399;3.53
10673;Kernera saxatilis;5374828;100.0
10656;Pyrus communis;5362573;23.26
10638;Scorzonera laciniata;8286501;18.21
10635;Prunus persica;8149923;1.27
10625;Salvia glutinosa;2927026;6.0
10615;Epilobium ciliatum;9188840;2.22
10603;Dianthus deltoides;3085424;5.5
10595;Salvia officinalis;2927004;5.99
10593;Crassula tillaea;5362055;81.72
10555;Coriaria myrtifolia;3701787;100.0
10542;Euphorbia spinosa;3066151;1.07
10517;Caucalis platycarpos;3034523;100.0
10515;Scutellaria alpina;7309071;12.82
10487;Galeopsis angustifolia;5341306;6.8
10480;Galatella sedifolia;3091620;56.86
10477;Prunus lusitanica;3020871;1.25
10471;Euphorbia nicaeensis;3065819;1.06
10468;Anemone ranunculoides;3033266;6.93
10445;Neottia cordata;2816213;4.57
10420;Lactuca viminea;8625614;4.43
10419;Tragopogon orientalis;5386903;7.61
10401;Isopyrum thalictroides;5615962;100.0
10388;Pyrola rotundifolia;2888269;40.06
10385;Agrostemma githago;3085368;100.0
10378;Trifolium stellatum;5359037;0.78
10335;Briza maxima;2702792;6.47
10325;Crucianella angustifolia;5336632;69.82
10317;Swertia perennis;5414540;100.0
10288;Rosulabryum capillare;2677117;68.95
10246;Viola lutea;8388117;1.77
10234;Epipactis microphylla;5318948;4.71
10227;Primula marginata;8084274;2.76
10207;Glyceria declinata;2705488;9.54
10206;Erythronium dens-canis;2752849;100.0
10195;Athamanta cretensis;7607769;100.0
10182;Hydrocharis morsus-ranae;5329266;100.0
10181;Tolpis staticifolia;3097186;68.99
10171;Allium roseum;2855893;3.99
10162;Adonis annua;5371709;35.38
10157;Pleurozium schreberi;2679715;100.0
10121;Vicia pannonica;2974811;1.41
10107;Aetheorhiza bulbosa;3143051;100.0
10104;Oenanthe silaifolia;6027222;9.62
10096;Centaurea leucophaea;3128735;2.22
10085;Berardia lanuginosa;5389461;100.0
10081;Baccharis halimifolia;3129663;100.0
10071;Cherleria sedoides;8068542;57.94
10063;Luzula congesta;2700896;2.52
10053;Androsace vitaliana;7290830;18.15
10025;Doronicum austriacum;7389416;29.54
10016;Bupleurum ranunculoides;6026947;8.39
10007;Potentilla indica;5365717;1.18
9982;Saxifraga bryoides;3755523;3.37
9973;Equisetum hyemale;2687927;3.22
9968;Juncus compressus;2701599;1.19
9963;Polycarpon tetraphyllum;3085381;88.18
9924;Gymnadenia odoratissima;2840474;6.99
9923;Alopecurus aequalis;5290083;5.59
9916;Valerianella rimosa;4095539;8.39
9889;Pancratium maritimum;2853283;85.6
9869;Ulmus laevis;7303616;4.73
9861;Potentilla montana;5366327;1.17
9856;Epilobium lamyi;3664802;2.06
9845;Cardamine resedifolia;3045872;2.56
9843;Festuca cinerea;2704954;1.61
9839;Lamium hybridum;8941778;2.24
9834;Fissidens taxifolius;5283263;34.04
9821;Ranunculus platanifolius;3928928;0.83
9820;Orlaya grandiflora;3638282;78.77
9810;Eleocharis ovata;2717641;9.68
9804;Serapias neglecta;5314746;15.06
9804;Anarrhinum bellidifolium;8114833;93.83
9788;Jasione laevis;3165708;15.2
9784;Geranium phaeum;2891390;0.95
9783;Androsace alpina;4008062;17.67
9774;Linum usitatissimum;2873861;4.53
9757;Ranunculus sartorianus;3925837;0.83
9753;Ornithopus compressus;5358265;21.79
9751;Vitex agnus-castus;2925562;100.0
9711;Limonium duriusculum;7419174;16.93
9705;Euphrasia salisburgensis;7591079;15.1
9699;Artemisia alba;3121088;3.21
9688;Veronica spicata;3172059;0.92
9650;Panicum dichotomiflorum;2705144;32.68
9637;Sagittaria sagittifolia;5328882;91.82
9636;Alchemilla alpina;3027648;9.62
9612;Cerastium tomentosum;3085438;2.09
9612;Lemna minuta;2867614;10.44
9607;Paradisea liliastrum;5304344;100.0
9599;Plantago maritima;3189755;0.97
9592;Lilium bulbiferum;2753079;13.92
9590;Turritis glabra;5376000;100.0
9585;Cynosurus echinatus;2704394;9.49
9548;Potentilla recta;5367294;1.13
9542;Lathyrus niger;5356662;2.11
9522;Centranthus calcitrapae;7298987;21.19
9511;Malus domestica;3001244;24.93
9491;Isolepis fluitans;2713142;36.8
9480;Omalotheca supina;3104537;36.91
9479;Pinus mugo;5285385;2.85
9472;Orobanche amethystea;7519710;9.11
9471;Plantago atrata;8083357;0.96
9452;Ranunculus paludosus;7966304;0.8
9452;Verbascum densiflorum;3171939;5.45
9439;Adiantum capillus-veneris;2651816;100.0
9437;Chamaemespilus alpina;3025093;100.0
9429;Pedicularis palustris;3171734;10.39
9427;Arisarum vulgare;2867495;100.0
9420;Carex bicolor;2722817;0.43
9411;Ranunculus glacialis;3033461;0.8
9388;Euphorbia platyphyllos;3068153;0.95
9382;Lathyrus sphaericus;5356680;2.07
9379;Cryptogramma crispa;5275447;100.0
9374;Rumex maritimus;2888980;1.01
9366;Centranthus angustifolius;7298931;20.84
9355;Thymus serpyllum;6409622;4.49
9338;Valeriana tuberosa;4096119;4.73
9300;Symphyotrichum squamatum;3151764;31.07
9300;Sorghum halepense;2705185;81.16
9299;Knautia nevadensis;7300982;5.39
9299;Coronilla scorpioides;5348644;5.82
9298;Linum alpinum;8152305;4.31
9296;Symphyotrichum lanceolatum;9202318;31.06
9289;Ranunculus parviflorus;11011124;0.79
9277;Pulsatilla rubra;7361164;11.13
9274;Selinum carvifolia;5371781;98.64
9271;Limonium girardianum;8076932;16.16
9270;Triglochin palustris;2865280;61.68
9247;Ludwigia peploides;5420991;19.95
9226;Persicaria mitis;7804549;3.31
9210;Lotus angustissimus;5356931;1.55
9208;Oenanthe peucedanifolia;5540247;8.76
9199;Koeleria macrantha;2705914;10.77
9185;Zannichellia palustris;2756540;98.2
9183;Euphorbia palustris;3064056;0.93
9179;Cirsium monspessulanum;3113318;1.1
9178;Lepidium didymum;5377060;8.41
9173;Plantago uliginosa;7303081;0.93
9135;Trifolium glomeratum;5358694;0.68
9121;Pyrus spinosa;5362560;19.91
9113;Elodea nuttallii;5329212;39.08
9109;Campanula barbata;5409958;2.02
9108;Minuartia rostrata;3811431;57.97
9094;Ranunculus aduncus;3927788;0.77
9080;Pyrola minor;2888272;35.01
9076;Sideritis hyssopifolia;8372368;41.0
9064;Buxbaumia viridis;2682851;96.17
9061;Fourraea alpina;5376286;100.0
9056;Cyperus longus;8243603;12.96
9054;Leucojum vernum;2860409;57.31
9047;Cynoglossum creticum;4064467;35.92
9047;Erigeron karvinskianus;3147168;2.93
9042;Polygala amarella;7293605;5.34
9037;Atropa belladonna;3802655;100.0
9036;Erigeron acris;3147080;2.92
9027;Silene conica;5384774;1.18
9016;Festuca heteromalla;2704996;1.47
8998;Sedum hirsutum;8393026;3.03
8997;Veronica agrestis;3172082;0.86
8996;Oreopteris limbosperma;2651495;100.0
8986;Sedum alpestre;7334006;3.03
8960;Lepidium virginicum;5376648;8.21
8943;Bromus secalinus;2703717;1.06
8934;Pulvigera lyellii;11081927;100.0
8923;Ostrya carpinifolia;5332305;100.0
8920;Calepina irregularis;3048782;100.0
8907;Oxytropis campestris;5361536;38.52
8895;Cytisus spinosus;7365374;3.94
8883;Orobanche rapum-genistae;3731346;8.54
8881;Blysmus compressus;2710650;100.0
8879;Bupleurum rotundifolium;3034554;7.43
8870;Pedicularis gyroflexa;7333475;9.77
8866;Stachys byzantina;2927230;2.58
8860;Atriplex halimus;3083718;9.86
8854;Euphorbia hyberna;3066567;0.9
8836;Impatiens balfourii;2891783;11.76
8815;Equisetum sylvaticum;2687929;2.84
8801;Carex ferruginea;2724481;0.41
8796;Isothecium alopecuroides;2679735;100.0
8788;Hieracium amplexicaule;3136320;3.64
8764;Artemisia annua;8373355;2.9
8760;Vicia lathyroides;2975076;1.22
8757;Callitriche platycarpa;7886879;17.5
8749;Rapistrum rugosum;5373368;100.0
8736;Leycesteria formosa;2888579;100.0
8717;Halimione portulacoides;3756031;90.12
8710;Chamaemelum nobile;5391599;90.96
8709;Achillea nana;8714852;1.96
8703;Mirabilis jalapa;3086240;100.0
8679;Melampyrum cristatum;3725765;7.18
8650;Crepis pyrenaica;5403358;2.32
8647;Ulex parviflorus;2952000;6.81
8644;Galium anisophyllon;2915025;0.74
8629;Carex divisa;2723410;0.4
8619;Thesium divaricatum;7645442;16.47
8613;Campanula alpestris;5410075;1.91
8612;Gentiana purpurea;8207244;3.09
8607;Ranunculus ophioglossifolius;3931003;0.73
8606;Antirrhinum latifolium;8363443;52.02
8605;Artemisia umbelliformis;8981321;2.85
8597;Potamogeton perfoliatus;5301200;7.34
8586;Bunias orientalis;3050364;63.72
8583;Marrubium vulgare;2927069;100.0
8583;Arenaria montana;6363863;6.06
8565;Carex brizoides;2721983;0.39
8556;Homalothecium lutescens;2673099;39.69
8544;Tephroseris helenitis;3130936;77.86
8540;Gunnera tinctoria;2984306;100.0
8520;Anthemis cotula;8035698;26.29
8519;Centaurea pectinata;8018277;1.88
8488;Carex frigida;2724503;0.39
8483;Brachypodium distachyon;5290143;1.61
8483;Fumana ericoides;8232802;13.46
8480;Phegopteris connectilis;2651330;100.0
8474;Eleocharis uniglumis;2717910;8.36
8465;Adonis flammea;8246651;29.47
8454;Rubus canescens;2991626;1.63
8450;Galium tricornutum;2913452;0.72
8439;Medicago arborea;2965379;1.7
8434;Carex canescens;2722942;0.39
8425;Dryopteris borreri;7506120;2.06
8423;Linaria simplex;8287616;3.7
8408;Glebionis segetum;3141101;83.96
8398;Reynoutria bohemica;4038485;11.03
8398;Drymocallis rupestris;3001836;98.48
8392;Carpobrotus edulis;3084842;93.67
8385;Geranium macrorrhizum;2891079;0.82
8384;Fragaria viridis;8400458;3.58
8381;Rhynchospora alba;2721119;73.43
8369;Helichrysum luteoalbum;3131229;13.8
8345;Lotus hispidus;8246649;1.41
8343;Paspalum distichum;2705622;36.55
8337;Cotoneaster tomentosus;7916436;19.09
8336;Barbarea intermedia;5374635;10.69
8311;Dysphania ambrosioides;5568446;66.23
8272;Oenothera glazioviana;3188894;26.98
8267;Hirschfeldia incana;3050595;100.0
8263;Sibbaldia procumbens;3025029;100.0
8260;Festuca arvernensis;2705029;1.35
8259;Psammophiliella muralis;3085257;100.0
8245;Aquilegia alpina;3921499;12.07
8240;Allium victorialis;2857132;3.23
8238;Vicia hybrida;2975257;1.15
8215;Calamagrostis arenaria;4126489;9.48
8202;Alcea rosea;5406789;95.12
8199;Potamogeton lucens;5301141;7.0
8193;Spinulum annotinum;3992189;100.0
8181;Allium ampeloprasum;2856037;3.21
8177;Asphodelus ramosus;2778478;18.06
8168;Carex alba;2725766;0.38
8161;Petrosedum montanum;4201870;7.44
8161;Polygaloides chamaebuxus;4051746;100.0
8150;Melampyrum catalaunicum;3725852;6.75
8127;Callitriche obtusangula;7647358;16.24
8122;Rosa pouzinii;3008098;1.76
8104;Saxifraga cuneifolia;7663587;2.74
8103;Ammi majus;3034182;100.0
8092;Onobrychis supina;2972800;14.47
8071;Falcaria vulgaris;5371782;100.0
8065;Sphagnum palustre;2669006;13.14
8055;Festuca maritima;4120648;1.32
8044;Vaccinium oxycoccos;2882940;3.39
8040;Medicago rigidula;2965438;1.62
8033;Ulex gallii;2951998;6.33
8031;Gentiana punctata;8008282;2.88
8030;Ophrys arachnitiformis;2792669;1.93
7983;Fontinalis antipyretica;2673408;88.36
7977;Artemisia genipi;3120878;2.64
7977;Ranunculus aquatilis;3033464;0.68
7976;Crupina vulgaris;3149965;94.42
7962;Betonica hirsuta;8123361;5.64
7957;Crambe maritima;5373533;100.0
7954;Logfia gallica;11665063;21.93
7951;Galatella linosyris;3091677;43.14
7936;Lindernia dubia;3171888;74.48
7934;Carex lasiocarpa;2728531;0.37
7931;Alpagrostis alpina;10861153;46.45
7927;Legousia hybrida;3158788;23.52
7915;Chamaecytisus supinus;5354525;66.33
7910;Stipa offneri;4135939;29.3
7909;Poa cenisia;4137228;0.82
7909;Leucodon sciuroides;5282884;100.0
7903;Pachypleurum mutellinoides;3636564;100.0
7903;Helianthemum canum;7399841;3.06
7902;Bromus benekenii;4144085;0.93
7894;Stellaria palustris;8127028;2.19
7874;Luzula alpinopilosa;2700948;1.97
7868;Lathyrus oleraceus;5347846;1.74
7860;Sedum atratum;8144117;2.65
7854;Epilobium lanceolatum;6427899;1.64
7834;Grimmia pulvinata;5281453;28.31
7828;Eleocharis quinqueflora;2717493;7.73
7815;Armeria maritima;8930531;15.6
7814;Petasites pyrenaicus;3088282;19.93
7813;Ptychotis saxifraga;7518079;100.0
7813;Hylotelephium maximum;7334631;20.73
7809;Carex limosa;2725881;0.36
7804;Ranunculus kuepferi;7277284;0.66
7800;Limonium virgatum;7730625;13.6
7775;Linum trigynum;2873874;3.61
7773;Carex parviflora;2724590;0.36
7760;Hesperis matronalis;3042291;78.97
7749;Bromus squarrosus;2703700;0.92
7739;Dianthus pavonius;3809829;4.01
7726;Sternbergia lutea;5326791;97.43
7711;Lolium rigidum;2706218;1.38
7706;Helichrysum italicum;3131614;12.71
7699;Pedicularis verticillata;3171697;8.48
7672;Alopecurus gerardii;4107988;4.32
7671;Juncus maritimus;2701869;0.92
7665;Alchemilla glabra;3027640;7.65
7661;Alleniella complanata;8232782;96.62
7645;Sinapis alba;3047621;10.11
7635;Oxybasis glauca;8290282;30.07
7623;Carex foetida;2722548;0.35
7613;Aethionema saxatile;7870683;97.4
7605;Dianthus seguieri;3085423;3.94
7596;Lathyrus cicera;5356481;1.68
7596;Orobanche teucrii;3730664;7.3
7587;Doronicum pardalianches;3142951;22.35
7577;Calystegia soldanella;7646357;2.98
7571;Sideritis romana;2926687;34.2
7570;Simethis mattiazzii;2778346;100.0
7561;Gentiana alpina;7270543;2.71
7548;Scilla lilio-hyacinthus;2767389;23.42
7527;Erigeron uniflorus;3147144;2.44
7523;Carex strigosa;2723315;0.35
7522;Medicago orbicularis;2965299;1.52
7518;Ceratocapnos claviculata;7315229;100.0
7515;Lunaria rediviva;5373322;31.01
7510;Dittrichia graveolens;3101193;22.2
7508;Erodium ciconium;9429152;5.74
7503;Polygala myrtifolia;3191402;4.43
7497;Erysimum cheiranthoides;3048266;23.15
7486;Bromus rubens;2703740;0.89
7481;Seseli galloprovinciale;3631253;9.4
7473;Callitriche brutia;8402883;14.93
7465;Antirrhinum majus;3172001;45.12
7461;Radiola linoides;2873844;100.0
7454;Salix glaucosericea;5583310;1.03
7439;Biscutella coronopifolia;3041747;21.59
7421;Iberis amara;5377163;23.32
7396;Equisetum variegatum;2687920;2.38
7391;Impatiens parviflora;2891782;9.84
7390;Anemone hortensis;3925918;4.89
7382;Barbarea verna;5374672;9.47
7374;Tripolium pannonicum;3098616;100.0
7367;Pilosella piloselloides;8288930;2.62
7365;Tortella tortuosa;2671369;65.12
7361;Thamnobryum alopecurum;2678712;100.0
7358;Aegilops neglecta;4138080;30.2
7357;Gentiana nivalis;3170097;2.64
7352;Ribes nigrum;2986192;4.05
7345;Hylotelephium anacampseros;4202184;19.49
7342;Carlina hispanica;3105375;5.1
7318;Lactuca plumieri;3140260;3.11
7301;Porella platyphylla;5286317;66.71
7300;Groenlandia densa;4009380;100.0
7297;Silene saxifraga;7402375;0.95
7289;Salvia sclarea;2927000;4.12
7283;Juniperus sabina;7963890;2.32
7275;Orobanche picridis;3731663;6.99
7257;Pilularia globulifera;3913526;97.23
7255;Festuca halleri;4123271;1.18
7248;Ajuga pyramidalis;8429926;2.86
7243;Ranunculus gramineus;3927790;0.61
7239;Matthiola sinuata;5377368;55.58
7231;Orobanche alba;8051275;6.95
7211;Teucrium aureum;7308731;1.33
7210;Ononis mitissima;2977292;3.22
7208;Juniperus thurifera;2684528;2.29
7195;Dianthus virgineus;7487287;3.73
7194;Symphoricarpos albus;8012439;100.0
7192;Anomodon viticulosus;5283423;100.0
7191;Anemone coronaria;3033261;4.76
7169;Symphyotrichum salignum;3151811;23.95
7164;Gymnadenia nigra;2840590;5.05
7159;Carex vulpina;2728514;0.33
7141;Holosteum umbellatum;3085349;100.0
7140;Prunus serotina;3021850;0.85
7139;Alchemilla monticola;3028763;7.13
7125;Salix myrsinifolia;5372875;0.98
7109;Potentilla caulescens;5367397;0.84
7099;Andromeda polifolia;5333413;100.0
7098;Calamagrostis arundinacea;4109084;8.19
7083;Erucastrum nasturtiifolium;5375555;49.06
7077;Lathyrus palustris;5356412;1.56
7072;Syntrichia ruralis;2671271;34.93
7062;Rumex thyrsiflorus;6391417;0.76
7057;Dasiphora fruticosa;5370380;100.0
7057;Prunus armeniaca;7818643;0.84
7054;Pinguicula grandiflora;7297844;18.24
7051;Hippuris vulgaris;5372503;100.0
7050;Potamogeton coloratus;7289632;6.02
7041;Cosmos bipinnatus;3098912;100.0
7034;Primula auricula;7974503;1.9
7031;Poa palustris;2704261;0.73
7017;Lycopodiella inundata;2688345;100.0
7016;Dichoropetalum carvifolia;3639144;90.11
7009;Gagea bohemica;5299816;12.09
6992;Aconitum anthora;3033670;12.26
6976;Globularia repens;7265195;5.73
6968;Herniaria hirsuta;3085797;24.94
6960;Tortula muralis;5280562;40.98
6956;Carex umbrosa;2729177;0.32
6949;Mnium hornum;5282688;64.24
6934;Narthecium ossifragum;5602614;95.05
6933;Pedicularis rosea;8362890;7.64
6932;Globularia alypum;7703240;5.7
6931;Ononis cristata;2977200;3.1
6915;Coronilla juncea;5348659;4.33
6894;Rhytidiadelphus loreus;2679711;56.23
6888;Rosa obtusifolia;3005909;1.49
6888;Atadinus pumilus;9545979;21.53
6882;Rosa tomentosa;7934161;1.49
6872;Hieracium laevigatum;3135064;2.85
6859;Paliurus spina-christi;5372457;100.0
6846;Centaurea solstitialis;3128888;1.51
6833;Acrospelion distichophyllum;11071440;100.0
6830;Linum suffruticosum;8281825;3.17
6828;Hedypnois rhagadioloides;5394841;95.86
6822;Hyssopus officinalis;5341387;100.0
6817;Zea mays;5290052;100.0
6802;Plantago lagopus;8022932;0.69
6786;Oxyria digyna;2889358;100.0
6786;Polygala alpestris;8207089;4.01
6780;Taraxacum ruderalia;10890921;6.41
6779;Rorippa pyrenaica;3053399;8.17
6772;Bellardia viscosa;7733140;74.06
6768;Thymus longicaulis;7307062;3.25
6753;Amblystegium serpens;7797019;100.0
6745;Leucojum aestivum;2860425;42.69
6716;Alpagrostis setacea;10762826;39.34
6715;Juncus acutus;2701632;0.8
6705;Eryngium spinalba;3641841;3.27
6704;Medicago monspeliaca;2965434;1.35
6698;Tamarix gallica;8380575;64.04
6689;Veronica bellidioides;3733851;0.64
6686;Valantia muralis;2894036;98.29
6677;Alchemilla saxatilis;3028162;6.67
6676;Limbarda crithmoides;3088761;100.0
6672;Arabis ciliata;5374982;7.35
6662;Ceratodon purpureus;5281381;98.27
6659;Hedysarum hedysaroides;2960823;88.87
6638;Narcissus assoanus;2859233;9.34
6626;Allium lusitanicum;2855705;2.6
6626;Narcissus tazetta;2858963;9.32
6612;Carex appropinquata;2727917;0.3
6607;Galium elongatum;2913128;0.56
6592;Taxodium distichum;2684191;100.0
6586;Asplenium obovatum;7310610;1.56
6579;Hieracium piliferum;3136638;2.72
6577;Diphasiastrum alpinum;2688420;72.25
6570;Silene nocturna;6364078;0.86
6522;Bryum argenteum;2676667;84.44
6522;Avena sterilis;2705286;6.03
6516;Adonis aestivalis;5371707;22.68
6499;Bifora radians;5371870;84.93
6496;Paeonia officinalis;3083488;77.01
6494;Arabis collina;5374998;7.15
6486;Lophocolea heterophylla;4276912;49.01
6483;Potamogeton berchtoldii;6389089;5.54
6480;Pedicularis cenisia;3725598;7.14
6478;Campanula erinus;5409852;1.44
6472;Pentanema britannicum;10010617;5.12
6468;Orchis provincialis;2849419;1.51
6462;Erigeron floribundus;3147018;2.09
6456;Juncus capitatus;2701957;0.77
6454;Panicum miliaceum;2705090;21.86
6447;Epipactis purpurata;5318906;2.97
6446;Bellis sylvestris;3117401;3.09
6439;Leontodon crispus;3137536;6.24
6425;Juncus tenageia;2701736;0.77
6405;Illecebrum verticillatum;5384589;100.0
6394;Erysimum cheiri;3048203;19.74
6383;Lepidium heterophyllum;5376846;5.85
6364;Iberis linifolia;5376543;20.0
6363;Romulea ramiflora;2743798;42.77
6356;Lupinus angustifolius;2964025;63.64
6349;Salix daphnoides;9153437;0.87
6348;Corallorhiza trifida;2797313;100.0
6346;Arenaria ciliata;7756154;4.48
6343;Campanula medium;5411453;1.41
6339;Rhus coriaria;3190563;27.97
6325;Cirsium rivulare;3113637;0.76
6315;Petrosedum forsterianum;7625285;5.76
6305;Malva arborea;3935079;2.95
6296;Cytisus decumbens;5354676;2.79
6287;Noccaea rotundifolia;3045243;10.81
6282;Galium timeroyi;2913485;0.53
6282;Escallonia rubra;8405971;100.0
6280;Aulacomnium palustre;2675979;80.29
6245;Lathraea squamaria;3738478;16.78
6244;Iberis pinnata;5377286;19.62
6233;Alchemilla flabellata;3027735;6.22
6231;Carex liparocarpos;2724226;0.29
6223;Salix pentandra;5372647;0.86
6212;Parietaria officinalis;5361803;13.43
6212;Ribes petraeum;2986176;3.42
6207;Teucrium pyrenaicum;7308145;1.14
6186;Althenia filiformis;6386027;100.0
6182;Rhynchostegium riparioides;4279671;55.88
6182;Salix appendiculata;5583213;0.85
6169;Erodium malacoides;9297163;4.72
6163;Sonchus tenerrimus;3105768;1.64
6161;Allium chamaemoly;2857323;2.42
6155;Hypericum dubium;3712443;0.95
6152;Myriophyllum verticillatum;5361779;13.82
6142;Empetrum hermaphroditum;6387994;59.22
6141;Lepidium graminifolium;5376994;5.63
6139;Exsertotheca crispa;7470937;100.0
6120;Taraxacum erythrospermum;5393872;5.79
6104;Erica carnea;5682465;2.94
6097;Dicranella heteromalla;5281431;59.77
6085;Erigeron alpinus;9074530;1.97
6083;Salix foetida;7375754;0.84
6077;Ptychostomum pseudotriquetrum;7459211;61.04
6076;Galeopsis segetum;5341308;3.94
6074;Trifolium squamosum;5359194;0.45
6067;Carduus vivariensis;4210773;4.08
6063;Daphne cneorum;7150059;4.52
6062;Myosotis stricta;5341190;1.73
6058;Arabidopsis arenosa;3052509;7.27
6054;Platanus hispanica;7400250;90.49
6037;Sedum villosum;5362015;2.04
6032;Juncus gerardi;6413621;0.72
6032;Veronica teucrium;3725062;0.57
6032;Urospermum picroides;3096624;18.74
6028;Suaeda vera;6035538;45.14
6026;Dorycnopsis gerardi;3972689;100.0
6025;Ephedra distachya;2653321;68.18
6021;Spergula morisonii;3085811;16.64
6006;Vicia onobrychioides;2974863;0.84
6003;Androsace maxima;3169329;10.84
6001;Bellevalia romana;2771972;95.74
6000;Hypericum nummularium;3713919;0.92
5998;Cedrus atlantica;5284702;65.98
